YEAR,TEAM NO,TEAM,SEED,ROUND,EASY DRAW,TOUGH DRAW,DARK HORSE,UPSET ALERT,CINDERELLA
2022,924,Houston,5,8,FALSE,FALSE,TRUE,FALSE,FALSE
2022,912,Memphis,9,32,FALSE,FALSE,TRUE,FALSE,FALSE
2022,921,Iowa,5,64,TRUE,FALSE,TRUE,FALSE,FALSE
2022,910,Michigan,11,16,TRUE,FALSE,TRUE,FALSE,FALSE
2022,941,Arizona,1,16,FALSE,FALSE,FALSE,TRUE,FALSE
2022,932,Colorado St.,6,64,FALSE,FALSE,FALSE,TRUE,FALSE
2022,897,Saint Mary's,5,32,FALSE,TRUE,FALSE,TRUE,FALSE
2022,882,Vermont,13,64,FALSE,FALSE,FALSE,FALSE,TRUE
2021,832,Oral Roberts,15,16,TRUE,FALSE,FALSE,FALSE,FALSE
2021,863,Drake,11,64,FALSE,TRUE,FALSE,FALSE,FALSE
2021,850,Iowa,2,32,FALSE,TRUE,FALSE,FALSE,FALSE
2021,849,Kansas,3,32,FALSE,TRUE,FALSE,FALSE,FALSE
2021,839,Norfolk St.,16,64,FALSE,TRUE,FALSE,FALSE,FALSE
2021,838,North Carolina,8,64,FALSE,TRUE,FALSE,FALSE,FALSE
2021,820,UC Santa Barbara,12,64,FALSE,TRUE,FALSE,FALSE,FALSE
2021,813,Virginia,4,64,FALSE,TRUE,FALSE,FALSE,FALSE
2021,824,Tennessee,5,64,FALSE,FALSE,TRUE,FALSE,FALSE
2021,821,Texas Tech,6,32,FALSE,FALSE,TRUE,FALSE,FALSE
2021,817,USC,6,8,FALSE,FALSE,TRUE,FALSE,FALSE
2021,814,Villanova,5,16,FALSE,FALSE,TRUE,FALSE,FALSE
2021,808,Wisconsin,9,32,FALSE,TRUE,TRUE,FALSE,FALSE
2021,872,Arkansas,3,8,FALSE,TRUE,FALSE,TRUE,FALSE
2021,829,Purdue,4,64,FALSE,TRUE,FALSE,TRUE,FALSE
2019,794,Gardner Webb,16,64,FALSE,TRUE,FALSE,FALSE,FALSE
2019,779,Michigan,2,16,FALSE,TRUE,FALSE,FALSE,FALSE
2019,758,Saint Mary's,11,64,FALSE,TRUE,FALSE,FALSE,FALSE
2019,786,Kansas St.,4,64,FALSE,TRUE,FALSE,TRUE,FALSE
2019,781,Marquette,5,64,FALSE,TRUE,FALSE,TRUE,FALSE
2019,742,Wisconsin,5,64,FALSE,TRUE,FALSE,TRUE,FALSE
2019,773,Murray St.,12,32,FALSE,FALSE,FALSE,FALSE,TRUE
2019,762,Oregon,12,16,FALSE,FALSE,FALSE,FALSE,TRUE
2019,751,UC Irvine,13,32,FALSE,FALSE,FALSE,FALSE,TRUE
2018,735,Auburn,4,32,TRUE,FALSE,FALSE,FALSE,FALSE
2018,728,College of Charleston,13,64,TRUE,FALSE,FALSE,FALSE,FALSE
2018,727,Creighton,8,64,TRUE,FALSE,FALSE,FALSE,FALSE
2018,725,Duke,2,8,TRUE,FALSE,FALSE,FALSE,FALSE
2018,724,Florida,6,32,TRUE,FALSE,FALSE,FALSE,FALSE
