YEAR,TEAM NO,TEAM,SEED,ROUND,Z RATING RANK,SEED LIST,Z RATING,TYPE
2021,810,Wichita St.,11,68,50,45,9.23,NEW
2021,809,Winthrop,12,64,54,49,8.83,NEW
2021,808,Wisconsin,9,32,9,35,15.67,NEW
2019,807,Abilene Christian,15,64,60,62,6.85,NEW
2019,806,Arizona St.,11,64,47,45,8.78,NEW
2019,805,Auburn,5,4,19,18,14.34,NEW
2019,804,Baylor,9,32,33,35,11.44,NEW
2019,803,Belmont,11,64,44,42,9.53,NEW
2019,802,Bradley,15,64,66,61,5.01,NEW
2019,801,Buffalo,6,32,32,23,11.66,NEW
2019,800,Cincinnati,7,64,25,27,12.72,NEW
2019,799,Colgate,15,64,62,60,6.28,NEW
2019,798,Duke,1,8,4,1,18.98,NEW
2019,797,Fairleigh Dickinson,16,64,63,66,6,NEW
2019,796,Florida,10,32,20,40,14.3,NEW
2019,795,Florida St.,4,16,13,14,15.99,NEW
2019,794,Gardner Webb,16,64,59,63,7.04,NEW
2019,793,Georgia St.,14,64,56,57,7.99,NEW
2019,792,Gonzaga,1,8,12,4,16.05,NEW
2019,791,Houston,3,16,14,9,14.95,NEW
2019,790,Iona,16,64,67,64,4.87,NEW
2019,789,Iowa,10,32,26,37,12.54,NEW
2019,788,Iowa St.,6,64,16,24,14.75,NEW
2019,787,Kansas,4,32,22,13,13.31,NEW
2019,786,Kansas St.,4,64,15,15,14.89,NEW
2019,785,Kentucky,2,8,11,7,16.17,NEW
2019,784,Liberty,12,32,50,50,8.56,NEW
2019,783,Louisville,7,64,24,25,12.97,NEW
2019,782,LSU,3,16,28,11,12.1,NEW
2019,781,Marquette,5,64,46,17,9.01,NEW
2019,780,Maryland,6,32,17,22,14.73,NEW
2019,779,Michigan,2,16,5,8,18.4,NEW
2019,778,Michigan St.,2,4,3,6,19.23,NEW
2019,777,Minnesota,10,32,35,39,10.96,NEW
2019,776,Mississippi,8,64,29,31,12.03,NEW
2019,775,Mississippi St.,5,64,21,20,13.78,NEW
2019,774,Montana,15,64,55,59,8.03,NEW
2019,773,Murray St.,12,32,49,46,8.62,NEW
2019,772,Nevada,7,64,34,26,11.4,NEW
2019,771,New Mexico St.,12,64,39,49,10.38,NEW
2019,770,North Carolina,1,16,2,3,19.8,NEW
2019,769,North Carolina Central,16,68,65,68,5.5,NEW
2019,768,North Dakota St.,16,64,68,67,3.98,NEW
2019,767,Northeastern,13,64,51,54,8.54,NEW
2019,766,Northern Kentucky,14,64,53,58,8.05,NEW
2019,765,Ohio St.,11,32,30,41,11.91,NEW
2019,764,Oklahoma,9,32,18,36,14.39,NEW
2019,763,Old Dominion,14,64,54,56,8.04,NEW
2019,762,Oregon,12,16,43,48,9.64,NEW
2019,761,Prairie View A&M,16,68,64,65,5.64,NEW
2019,760,Purdue,3,8,8,12,16.68,NEW
2019,759,Saint Louis,13,64,36,53,10.78,NEW
2019,758,Saint Mary's,11,64,40,44,10.07,NEW
2019,757,Seton Hall,10,64,52,38,8.48,NEW
2019,756,St. John's,11,68,48,47,8.71,NEW
2019,755,Syracuse,8,64,23,30,13.01,NEW
2019,754,Temple,11,68,45,43,9.51,NEW
2019,753,Tennessee,2,16,6,5,18.36,NEW
2019,752,Texas Tech,3,2,7,10,17.7,NEW
2019,751,UC Irvine,13,32,58,51,7.91,NEW
2019,750,UCF,9,32,31,34,11.76,NEW
2019,749,Utah St.,8,64,38,32,10.54,NEW
2019,748,VCU,8,64,41,29,9.99,NEW
2019,747,Vermont,13,64,61,52,6.72,NEW
2019,746,Villanova,6,32,42,21,9.96,NEW
2019,745,Virginia,1,1,1,2,19.88,NEW
2019,744,Virginia Tech,4,16,9,16,16.51,NEW
2019,743,Washington,9,32,37,33,10.63,NEW
2019,742,Wisconsin,5,64,10,19,16.36,NEW
2019,741,Wofford,7,32,27,28,12.46,NEW
2019,740,Yale,14,64,57,55,7.94,NEW
2018,739,Alabama,9,32,45,36,9.53,NEW
2018,738,Arizona,4,64,36,16,10.81,NEW
2018,737,Arizona St.,11,68,43,43,9.81,NEW
2018,736,Arkansas,7,64,29,26,12.45,NEW
2018,735,Auburn,4,32,46,13,9.53,NEW
2018,734,Bucknell,14,64,53,55,7.98,NEW
2018,733,Buffalo,13,32,51,51,8.22,NEW
2018,732,Butler,10,32,25,33,13.2,NEW
2018,731,Cal St. Fullerton,15,64,65,61,4.93,NEW
2018,730,Cincinnati,2,32,9,8,16.35,NEW
2018,729,Clemson,5,16,23,19,13.61,NEW
2018,728,College of Charleston,13,64,62,53,6.49,NEW
2018,727,Creighton,8,64,14,30,14.86,NEW
2018,726,Davidson,12,64,39,48,10.43,NEW
2018,725,Duke,2,8,3,6,18.65,NEW
2018,724,Florida,6,32,19,21,14.18,NEW
2018,723,Florida St.,9,8,32,38,11.81,NEW
2018,722,Georgia St.,15,64,57,60,7.7,NEW
2018,721,Gonzaga,4,16,13,15,15.22,NEW
2018,720,Houston,6,32,20,23,14.16,NEW
2018,719,Iona,15,64,58,62,7.07,NEW
2018,718,Kansas,1,4,7,3,16.78,NEW
2018,717,Kansas St.,9,8,34,34,11.64,NEW
2018,716,Kentucky,5,16,40,17,10.28,NEW
2018,715,Lipscomb,15,64,63,59,6.46,NEW
2018,714,LIU Brooklyn,16,68,67,66,3.48,NEW
2018,713,Loyola Chicago,11,4,41,46,10.25,NEW
2018,712,Marshall,13,32,52,54,8.21,NEW
2018,711,Miami FL,6,64,27,22,12.74,NEW
