YEAR,TEAM NO,TEAM,SEED,ROUND,TR RANK,TR RATING,V 1-25 WINS,V 1-25 LOSS,V 26-50 WINS,V 26-50 LOSS,V 51-100 WINS,V 51-100 LOSS,HI,LO,LAST
2024,1067,Connecticut,1,1,6,23.2,2,0,3,0,3,0,5,19,6
2024,1066,Creighton,3,16,10,20.4,3,0,3,1,2,1,3,104,10
2024,1065,Dayton,7,32,50,11.5,0,0,0,0,3,0,45,134,50
2024,1064,Drake,10,64,60,10.2,0,0,1,0,1,0,59,223,60
2024,1063,Duke,4,8,16,17.6,1,2,2,1,2,0,3,38,16
2024,1062,Duquesne,11,32,121,3.8,0,0,0,1,3,2,84,149,121
2024,1061,Florida,7,64,21,16.6,2,1,0,0,3,0,20,106,21
2024,1060,Florida Atlantic,8,64,37,13.7,0,0,0,0,3,0,6,183,37
2024,1059,Gonzaga,5,16,23,15.6,0,1,0,1,2,0,10,146,23
2024,1058,Grambling St.,16,64,335,-13.5,0,0,0,0,0,0,248,357,335
2024,1057,Grand Canyon,12,32,61,10.2,0,0,1,0,0,0,35,107,61
2024,1056,Houston,1,16,1,29,2,0,4,0,1,0,1,6,1
2024,1055,Howard,16,68,271,-6.8,0,0,0,1,0,1,142,291,270
2024,1054,Illinois,3,8,22,16.5,1,2,3,0,3,1,12,83,22
2024,1053,Iowa St.,2,16,5,23.5,3,0,4,0,1,0,2,36,5
2024,1052,James Madison,12,32,55,10.7,0,0,0,0,0,1,43,175,55
2024,1051,Kansas,4,32,14,19.4,3,1,4,0,2,0,2,28,14
2024,1050,Kentucky,3,64,25,15.3,1,3,0,0,4,0,4,34,25
2024,1049,Long Beach St.,15,64,258,-5.7,0,0,0,0,0,1,138,315,258
2024,1048,Longwood,16,64,185,-1.6,0,0,0,0,0,0,81,225,185
2024,1047,Marquette,2,16,11,20.2,1,1,4,0,2,1,7,55,11
2024,1046,McNeese St.,12,64,81,7.5,0,0,0,0,0,0,75,269,81
2024,1045,Michigan St.,9,32,19,16.7,1,1,2,2,5,1,5,137,19
2024,1044,Mississippi St.,8,64,59,10.4,2,2,0,0,1,1,27,164,59
2024,1043,Montana St.,16,68,260,-6,0,0,0,0,0,0,225,324,260
2024,1042,Morehead St.,14,64,107,5,0,0,0,0,0,0,58,234,107
2024,1041,Nebraska,8,64,28,15,3,1,2,0,4,0,26,98,28
2024,1040,Nevada,10,64,51,11.5,0,0,2,2,1,0,12,120,51
2024,1039,New Mexico,11,64,36,13.8,0,0,2,1,3,1,8,66,36
2024,1038,North Carolina,1,16,13,19.8,3,0,1,1,4,0,7,60,13
2024,1037,North Carolina St.,11,4,73,8.4,1,2,1,2,1,1,46,135,73
2024,1036,Northwestern,9,32,45,12.5,3,0,3,1,3,0,33,168,45
2024,1035,Oakland,14,32,169,-0.5,0,0,0,0,0,0,39,265,169
2024,1034,Oregon,11,32,56,10.7,1,2,0,1,3,0,28,150,56
2024,1033,Purdue,1,2,3,24.9,3,0,2,0,6,0,1,5,3
2024,1032,Saint Mary's,5,64,18,16.8,0,2,1,0,1,0,5,38,18
2024,1031,Saint Peter's,15,64,248,-5.1,0,0,0,0,0,0,186,344,248
2024,1030,Samford,13,64,79,7.8,0,0,0,0,0,0,71,197,79
2024,1029,San Diego St.,5,16,47,12,0,0,2,1,5,0,19,122,47
2024,1028,South Carolina,6,64,64,9.6,2,1,0,0,2,1,23,111,64
2024,1027,South Dakota St.,15,64,175,-1,0,0,0,0,0,0,139,311,175
2024,1026,Stetson,16,64,151,0.6,0,0,0,0,1,0,49,211,151
2024,1025,TCU,9,64,31,14.5,1,2,3,2,0,0,18,44,31
2024,1024,Tennessee,2,8,7,22.9,4,1,0,0,4,1,4,29,7
2024,1023,Texas,7,32,26,15.1,1,2,1,2,1,0,16,51,26
2024,1022,Texas A&M,9,32,74,8.2,3,0,0,0,1,4,19,90,74
2024,1021,Texas Tech,6,64,33,14.4,3,0,2,2,1,0,29,130,33
2024,1020,UAB,12,64,146,1.2,0,0,1,0,4,2,103,284,146
2024,1019,Utah St.,8,32,52,11.1,0,0,4,0,1,1,45,112,52
2024,1018,Vermont,13,64,122,3.7,0,0,0,0,1,0,108,286,122
2024,1017,Virginia,10,68,29,14.9,1,1,1,1,4,0,8,42,29
2024,1016,Wagner,16,64,295,-8.7,0,0,0,0,0,0,207,317,295
2024,1015,Washington St.,7,32,38,13.7,3,0,0,0,2,2,25,104,38
