YEAR,TEAM NO,TEAM,SEED,ROUND,NET,KPI,SOR,WAB RANK,RESUME AVG,RESUME AVG RANK,BPI,KP,SAG,TRK,QUALITY AVG,QUALITY AVG RANK,Q1A W,Q1A L,Q1 W,Q1 L,Q2 W,Q2 L,Q1&2 W,Q1&2 L,Q3 W,Q3 L,Q4 W,Q4 L
2023,962,Saint Mary's,5,32,11,12,31,,21.5,21,18,11,17,,15.3,14,2,3,2,3,7,2,9,5,11,2,5,0
2023,961,San Diego St.,5,2,14,6,15,,10.5,10,24,14,28,,22,24,2,5,5,5,6,1,11,6,13,0,2,0
2023,960,Southeast Missouri St.,16,68,242,246,254,,250,251,257,257,256,,256.7,256,0,1,0,3,0,0,0,3,2,4,15,9
2023,959,TCU,6,32,28,34,26,,30,29,28,27,21,,25.3,25,4,7,8,11,5,0,13,11,0,0,8,1
2023,958,Tennessee,4,16,4,13,23,,18,19,3,5,9,,5.7,6,3,4,7,7,3,3,10,10,6,0,7,0
2023,957,Texas,2,8,7,4,4,,4,4,5,6,5,,5.3,5,6,5,14,8,4,0,18,8,1,0,7,0
2023,956,Texas A&M,7,64,19,17,19,,18,19,19,25,19,,21,21,4,4,7,6,5,1,12,7,6,0,7,2
2023,955,Texas A&M Corpus Chris,16,64,175,221,179,,200,205,210,170,199,,193,195,0,1,0,3,0,0,0,3,1,1,18,6
2023,954,Texas Southern,16,68,294,307,299,,303,307,292,285,283,,286.7,288,0,3,0,4,1,3,1,7,1,2,10,11
2023,953,UC Santa Barbara,14,64,100,105,89,,97,97,123,102,106,,110.3,111,0,0,0,0,3,1,3,1,9,5,13,1
2023,952,UCLA,2,16,3,8,5,,6.5,6,4,2,3,,3,3,3,3,8,5,9,0,17,5,5,0,7,0
2023,951,UNC Asheville,15,64,140,131,80,,105.5,103,136,146,154,,145.3,144,0,1,1,2,0,0,1,2,4,2,20,3
2023,950,USC,10,64,50,40,35,,37.5,37,54,36,36,,42,42,1,4,3,6,7,2,10,8,6,1,6,1
2023,949,Utah St.,10,64,18,14,34,,24,24,42,18,37,,32.3,31,0,5,2,5,9,1,11,6,13,0,1,2
