YEAR,TEAM NO,TEAM,SEED,ROUND,PRESEASON KADJ EM RANK,PRESEASON KADJ EM,PRESEASON KADJ O,PRESEASON KADJ O RANK,PRESEASON KADJ D,PRESEASON KADJ D RANK,PRESEASON KADJ T,PRESEASON KADJ T RANK,KADJ EM RANK CHANGE,KADJ EM CHANGE,KADJ T CHANGE
2026,1165,St. John's,5,0,16,23.48,116.4,23,92.9,12,72.7,52,-1,2.43,-3.1
2026,1164,TCU,9,0,66,12.33,109.6,83,97.3,47,70.9,193,23,5.25,-3.2
2026,1163,Tennessee,6,0,9,25.04,115.3,28,90.2,3,69.1,326,-7,0.98,-4.1
2026,1162,Tennessee St.,15,0,240,-6.37,100,264,106.3,201,72.1,88,53,4.54,-1.9
2026,1161,Texas,11,0,39,18.16,113.7,43,95.5,32,72.3,76,2,0.88,-5.4
2026,1160,Texas A&M,10,0,35,18.86,114.2,38,95.4,28,73.2,31,-4,-0.19,-2.8
2026,1159,Texas Tech,5,0,12,24.22,118.5,12,94.2,18,68.9,334,-8,1.01,-2.7
2026,1158,Troy,13,0,124,2.88,104.6,160,101.7,109,70.8,204,-19,-1.16,-5.9
2026,1157,UCF,10,0,64,12.68,110.4,76,97.7,52,73.4,29,10,2.36,-4.2
2026,1156,UCLA,7,0,10,25,116.9,18,91.9,7,68.7,346,-17,-3.34,-4.1
2026,1155,UMBC,16,0,296,-10.14,101.8,223,112,342,73.3,30,111,8.48,-7.1
2026,1154,Utah St.,9,0,42,17.5,116.6,21,99.1,72,71.2,158,12,3.26,-3.5
2026,1153,Vanderbilt,5,0,19,21.9,116.7,19,94.8,23,72.8,46,7,5.61,-3.9
2026,1152,VCU,11,0,60,13.71,108.6,97,94.9,24,74.1,10,15,3.49,-5.6
2026,1151,Villanova,8,0,50,15.42,112.2,52,96.8,44,70.8,203,17,4.55,-5.6
2026,1150,Virginia,3,0,59,13.94,112.9,48,99,71,69.5,302,46,12.77,-3.8
2026,1149,Wisconsin,5,0,20,21.69,117.1,17,95.4,31,70.6,225,-2,1.71,-1.9
2026,1148,Wright St.,14,0,194,-3.46,103.9,169,107.4,237,71.1,165,54,5.5,-4
