YEAR,TEAM NO,TEAM,SEED,ROUND,RPPF RATING RANK,RPPF RATING,NPB RATING RANK,NPB RATING,RADJ O RANK,RADJ O,RADJ D RANK,RADJ D,RADJ EM RANK,RADJ EM,R PACE RANK,R PACE,R SOS RANK,R SOS,STROE RANK,STROE,STRDE RANK,STRDE,STRT+ RANK,STREM RANK,STREM,STREM RANK 2
2024,1031,Saint Peter's,15,64,205,0.5661,175,0.7316,305,98.1,66,100.5,187,-2.4,338,64.1,293,0.5268,328,63.4,134,98.6,157,189,-35.2,247
2024,1030,Samford,13,64,89,0.7592,69,0.8574,66,113.4,127,103.9,85,9.5,13,72.5,234,0.5602,27,94.32,43,90.5,64,86,3.82,28
2024,1029,San Diego St.,5,16,27,0.8639,30,0.903,57,113.7,10,93.9,21,19.8,268,65.9,30,0.7542,75,86.45,12,85.45,11,20,1,36
2024,1028,South Carolina,6,64,47,0.8262,33,0.9004,48,114.6,44,99.3,48,15.3,354,62.9,82,0.7159,86,85.2,118,97.41,83,47,-12.21,97
2024,1027,South Dakota St.,15,64,132,0.6755,128,0.7879,133,108.4,157,105.6,134,2.8,152,67.8,225,0.5653,134,80.47,168,101.66,142,132,-21.19,139
2024,1026,Stetson,16,64,234,0.5255,259,0.6477,110,109.7,339,114.7,224,-5,251,66.3,274,0.5389,127,81.02,350,117.96,289,220,-36.94,263
2024,1025,TCU,9,64,31,0.8526,43,0.89,43,115.7,29,97.7,32,18,60,69.7,63,0.7303,29,93.61,18,86.63,22,39,6.98,21
2024,1024,Tennessee,2,8,10,0.9169,11,0.9349,27,117.5,3,91,7,26.5,77,69.3,13,0.7711,21,96.73,2,77.35,4,6,19.38,7
2024,1023,Texas,7,32,23,0.8696,31,0.9025,18,119.3,59,99.9,26,19.4,184,67.3,44,0.7455,23,95.83,70,93.16,40,24,2.67,33
2024,1022,Texas A&M,9,32,37,0.8409,50,0.8787,38,116.1,53,99.6,42,16.5,267,66,18,0.7645,41,90.72,78,93.8,56,43,-3.08,49
2024,1021,Texas Tech,6,64,26,0.8664,20,0.9135,24,118.5,41,99.1,26,19.4,223,66.8,21,0.7605,30,93.52,72,93.44,40,22,0.08,39
2024,1020,UAB,12,64,101,0.7302,112,0.8075,51,114.3,201,107.7,105,6.6,156,67.7,104,0.669,65,88.44,198,104.01,144,106,-15.57,111
2024,1019,Utah St.,8,32,53,0.8119,45,0.8867,36,116.3,84,101.3,51,15,103,68.6,88,0.6964,34,92.38,63,92.52,50,49,-0.14,40
