YEAR,TEAM NO,TEAM,SEED,ROUND,RPPF PRESEASON RANK,PRESEASON RPPF RATING,RPPF RATING CHANGE RANK,RPPF RATING CHANGE,RPPF RATING RANK CHANGE RANK
2025,1091,Texas Tech,3,8,47,0.802,50,0.1105,39
2025,1090,Troy,14,64,239,0.5166,21,0.1826,141
2025,1089,UC San Diego,12,64,186,0.5895,12,0.2186,140
2025,1088,UCLA,7,32,30,0.8394,160,0.0049,1
2025,1087,UNC Wilmington,14,64,96,0.7122,207,-0.0283,-14
2025,1086,Utah St.,10,64,97,0.7104,73,0.086,43
2025,1085,Vanderbilt,10,64,80,0.7497,89,0.0692,37
2025,1084,VCU,11,64,74,0.7589,87,0.0765,40
2025,1083,Wisconsin,3,32,32,0.8376,108,0.0519,19
2025,1082,Wofford,15,64,294,0.4197,11,0.221,153
2025,1081,Xavier,11,64,71,0.7633,96,0.0594,30
2025,1080,Yale,13,64,77,0.7526,182,-0.0089,0
2024,1079,Akron,14,64,141,0.6567,165,0.0252,12
2024,1078,Alabama,4,4,10,0.8844,196,0.0024,-5
2024,1077,Arizona,2,16,12,0.8822,77,0.085,8
2024,1076,Auburn,4,64,21,0.8589,47,0.115,18
2024,1075,Baylor,3,32,19,0.8683,185,0.0137,2
2024,1074,Boise St.,10,68,60,0.7745,119,0.0546,16
2024,1073,BYU,6,64,39,0.8168,101,0.0649,21
2024,1072,Clemson,6,8,38,0.821,150,0.0333,8
2024,1071,Colgate,14,64,90,0.72,320,-0.1006,-81
2024,1070,College of Charleston,13,64,84,0.7409,197,0.0024,-12
2024,1069,Colorado,10,32,27,0.8424,183,0.0154,-2
2024,1068,Colorado St.,10,64,63,0.7729,109,0.0617,24
2024,1067,Connecticut,1,1,3,0.9397,131,0.0462,2
2024,1066,Creighton,3,16,4,0.9153,201,0.0003,-8
2024,1065,Dayton,7,32,70,0.7634,87,0.0779,34
2024,1064,Drake,10,64,79,0.7514,114,0.0581,25
2024,1063,Duke,4,8,8,0.8968,162,0.0268,0
2024,1062,Duquesne,11,32,58,0.7791,195,0.0044,-10
2024,1061,Florida,7,64,29,0.8414,163,0.0262,4
2024,1060,Florida Atlantic,8,64,24,0.8514,244,-0.0258,-24
2024,1059,Gonzaga,5,16,6,0.9055,194,0.005,-7
2024,1058,Grambling St.,16,64,235,0.5197,273,-0.0523,-44
2024,1057,Grand Canyon,12,32,83,0.7451,130,0.0465,21
2024,1056,Houston,1,16,5,0.9147,141,0.0371,0
2024,1055,Howard,16,68,213,0.5531,297,-0.0708,-58
2024,1054,Illinois,3,8,23,0.8515,106,0.0643,12
2024,1053,Iowa St.,2,16,48,0.7997,38,0.1251,41
2024,1052,James Madison,12,32,101,0.7054,68,0.0928,42
2024,1051,Kansas,4,32,1,0.9701,339,-0.1288,-34
2024,1050,Kentucky,3,64,18,0.8685,160,0.0277,4
2024,1049,Long Beach St.,15,64,109,0.6947,317,-0.0947,-73
2024,1048,Longwood,16,64,214,0.5516,91,0.0729,48
2024,1047,Marquette,2,16,11,0.8837,142,0.0368,2
2024,1046,McNeese St.,12,64,269,0.4685,1,0.3156,203
2024,1045,Michigan St.,9,32,9,0.8904,219,-0.013,-11
2024,1044,Mississippi St.,8,64,41,0.8158,122,0.0528,17
2024,1043,Montana St.,16,68,266,0.4759,66,0.0949,62
2024,1042,Morehead St.,14,64,222,0.543,31,0.1351,91
2024,1041,Nebraska,8,64,45,0.804,112,0.0592,17
2024,1040,Nevada,10,64,65,0.7717,93,0.0709,31
2024,1039,New Mexico,11,64,46,0.8027,79,0.0826,30
2024,1038,North Carolina,1,16,13,0.8814,125,0.0507,7
2024,1037,North Carolina St.,11,4,66,0.7711,148,0.0341,9
2024,1036,Northwestern,9,32,37,0.8234,189,0.0108,-4
2024,1035,Oakland,14,32,263,0.4788,3,0.2121,138
2024,1034,Oregon,11,32,34,0.8281,222,-0.0134,-17
2024,1033,Purdue,1,2,2,0.9565,169,0.0229,0
2024,1032,Saint Mary's,5,64,25,0.8482,155,0.0312,6
2024,1031,Saint Peter's,15,64,298,0.4164,20,0.1497,93
2024,1030,Samford,13,64,154,0.6359,42,0.1233,65
2024,1029,San Diego St.,5,16,26,0.8447,174,0.0192,-1
2024,1028,South Carolina,6,64,107,0.6999,37,0.1263,60
2024,1027,South Dakota St.,15,64,162,0.6224,121,0.0531,30
2024,1026,Stetson,16,64,179,0.6031,305,-0.0776,-55
2024,1025,TCU,9,64,20,0.8625,216,-0.0099,-11
2024,1024,Tennessee,2,8,7,0.9007,180,0.0162,-3
2024,1023,Texas,7,32,15,0.8706,204,-0.001,-8
2024,1022,Texas A&M,9,32,16,0.8697,248,-0.0288,-21
2024,1021,Texas Tech,6,64,47,0.802,105,0.0644,21
2024,1020,UAB,12,64,76,0.7556,243,-0.0254,-25
2024,1019,Utah St.,8,32,97,0.7104,56,0.1015,44
2024,1018,Vermont,13,64,134,0.668,143,0.0367,20
2024,1017,Virginia,10,68,59,0.7764,262,-0.0409,-39
2024,1016,Wagner,16,64,282,0.4395,218,-0.0123,-23
2024,1015,Washington St.,7,32,75,0.7568,92,0.0722,30
2024,1014,Western Kentucky,15,64,218,0.5471,28,0.1383,91
2024,1013,Wisconsin,5,64,32,0.8376,145,0.0354,10
2024,1012,Yale,13,32,77,0.7526,188,0.0122,-4
2023,1011,Alabama,1,16,28,0.8417,34,0.1214,25
2023,1010,Arizona,2,64,9,0.9018,123,0.0525,4
2023,1009,Arizona St.,11,64,60,0.7796,166,0.0279,4
2023,1008,Arkansas,8,16,14,0.8728,192,0.0154,-2
2023,1007,Auburn,9,32,13,0.88,243,-0.0154,-11
2023,1006,Baylor,3,32,2,0.9347,289,-0.0462,-13
2023,1005,Boise St.,10,64,68,0.7594,92,0.0754,27
2023,1004,Colgate,15,64,118,0.6926,143,0.0388,18
2023,1003,College of Charleston,12,64,137,0.661,28,0.1303,66
2023,1002,Connecticut,4,1,55,0.79,12,0.174,53
2023,1001,Creighton,6,8,22,0.8435,133,0.0482,8
2023,1000,Drake,12,64,61,0.7776,190,0.016,-8
2023,999,Duke,5,32,7,0.9067,256,-0.024,-12
2023,998,Fairleigh Dickinson,16,32,354,0.2696,19,0.1538,50
2023,997,Florida Atlantic,9,4,87,0.7322,22,0.141,65
2023,996,Furman,13,32,74,0.7545,218,0.0013,-18
2023,995,Gonzaga,3,8,1,0.9786,278,-0.039,-6
2023,994,Grand Canyon,14,64,114,0.6959,183,0.0186,4
2023,993,Houston,1,16,8,0.9065,82,0.0787,7
2023,992,Howard,16,64,281,0.4488,88,0.0766,45
2023,991,Illinois,9,64,17,0.8546,242,-0.0152,-19
2023,990,Indiana,4,32,12,0.8883,272,-0.0366,-15
2023,989,Iona,13,64,106,0.7086,59,0.093,44
